question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,20,baseline,EWOK,EWOK,0.6835205992509363,0.6793071161048689,0.004213483146067398,0.107056353763175,0.21629213483146068,-0.10923578106828567,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,50,baseline,EWOK,EWOK,0.6860955056179775,0.6793071161048689,0.006788389513108561,0.0599250936329588,0.21629213483146068,-0.15636704119850187,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,100,baseline,EWOK,EWOK,0.6882022471910112,0.6793071161048689,0.00889513108614226,0.054307116104868915,0.21629213483146068,-0.16198501872659177,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,200,baseline,EWOK,EWOK,0.6900749063670412,0.6793071161048689,0.010767790262172228,0.056179775280898875,0.21629213483146068,-0.1601123595505618,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,300,baseline,EWOK,EWOK,0.6900749063670412,0.6793071161048689,0.010767790262172228,0.06460674157303371,0.21629213483146068,-0.15168539325842695,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,400,baseline,EWOK,EWOK,0.6905430711610487,0.6793071161048689,0.011235955056179803,0.06647940074906367,0.21629213483146068,-0.149812734082397,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,500,baseline,EWOK,EWOK,0.6905430711610487,0.6793071161048689,0.011235955056179803,0.07397003745318352,0.21629213483146068,-0.14232209737827717,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,10,baseline,EWOK,EWOK,0.6968632958801498,0.6961610486891385,0.0007022471910113071,0.09925093632958802,0.10205992509363296,-0.002808988764044937,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,20,baseline,EWOK,EWOK,0.6989700374531835,0.6961610486891385,0.002808988764045006,0.076894732345025,0.10205992509363296,-0.025165192748607956,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,50,baseline,EWOK,EWOK,0.7012651868091715,0.6961610486891385,0.005104138120032964,0.030430711610486893,0.10205992509363296,-0.07162921348314606,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,100,baseline,EWOK,EWOK,0.702247191011236,0.6961610486891385,0.006086142322097476,0.025280898876404494,0.10205992509363296,-0.07677902621722846,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,200,baseline,EWOK,EWOK,0.7036516853932584,0.6961610486891385,0.0074906367041198685,0.014044943820224719,0.10205992509363296,-0.08801498127340823,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,300,baseline,EWOK,EWOK,0.704119850187266,0.6961610486891385,0.007958801498127444,0.008426966292134831,0.10205992509363296,-0.09363295880149813,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,400,baseline,EWOK,EWOK,0.7045880149812734,0.6961610486891385,0.008426966292134908,0.0056179775280898875,0.10205992509363296,-0.09644194756554307,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,fewshot,500,baseline,EWOK,EWOK,0.7045880149812734,0.6961610486891385,0.008426966292134908,0.0056179775280898875,0.10205992509363296,-0.09644194756554307,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,10,baseline,EWOK,EWOK,0.7780898876404494,0.7794943820224719,-0.001404494382022503,0.10767790262172285,0.23127340823970038,-0.12359550561797754,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,20,baseline,EWOK,EWOK,0.7799625468164794,0.7794943820224719,0.000468164794007464,0.06882022471910113,0.23127340823970038,-0.16245318352059926,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,50,baseline,EWOK,EWOK,0.7818352059925093,0.7794943820224719,0.002340823970037431,0.03846373435644469,0.23127340823970038,-0.1928096738832557,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,100,baseline,EWOK,EWOK,0.7818352059925093,0.7794943820224719,0.002340823970037431,0.03417602996254682,0.23127340823970038,-0.19709737827715357,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,200,baseline,EWOK,EWOK,0.7827715355805244,0.7794943820224719,0.0032771535580524702,0.03464419475655431,0.23127340823970038,-0.19662921348314608,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,300,baseline,EWOK,EWOK,0.7823033707865169,0.7794943820224719,0.002808988764045006,0.03651685393258427,0.23127340823970038,-0.1947565543071161,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,400,baseline,EWOK,EWOK,0.7821146245059288,0.7794943820224719,0.002620242483456936,0.040262172284644196,0.23127340823970038,-0.1910112359550562,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,fewshot,500,baseline,EWOK,EWOK,0.7823033707865169,0.7794943820224719,0.002808988764045006,0.042134831460674156,0.23127340823970038,-0.18913857677902624,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,10,baseline,EWOK,EWOK,0.7916666666666666,0.7930711610486891,-0.001404494382022503,0.06601123595505617,0.03932584269662921,0.026685393258426962,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,50,baseline,EWOK,EWOK,0.7926029962546817,0.7930711610486891,-0.000468164794007464,0.027153558052434457,0.03932584269662921,-0.012172284644194755,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,100,baseline,EWOK,EWOK,0.7928370786516854,0.7930711610486891,-0.000234082397003732,0.028089887640449437,0.03932584269662921,-0.011235955056179775,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,200,baseline,EWOK,EWOK,0.7926029962546817,0.7930711610486891,-0.000468164794007464,0.02902621722846442,0.03932584269662921,-0.010299625468164791,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,300,baseline,EWOK,EWOK,0.7923151750972762,0.7930711610486891,-0.0007559859514129075,0.029080675422138838,0.03932584269662921,-0.010245167274490374,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,400,baseline,EWOK,EWOK,0.7926029962546817,0.7930711610486891,-0.000468164794007464,0.02902621722846442,0.03932584269662921,-0.010299625468164791,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,fewshot,500,baseline,EWOK,EWOK,0.7926029962546817,0.7930711610486891,-0.000468164794007464,0.031835205992509365,0.03932584269662921,-0.007490636704119848,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,10,baseline,EWOK,EWOK,0.5877264714003526,0.5941011235955056,-0.0063746521951529855,0.22799625468164791,0.46722846441947563,-0.23923220973782772,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,20,baseline,EWOK,EWOK,0.5941011235955056,0.5941011235955056,0.0,0.12780898876404495,0.46722846441947563,-0.3394194756554307,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,50,baseline,EWOK,EWOK,0.5959737827715356,0.5941011235955056,0.0018726591760299671,0.05149812734082397,0.46722846441947563,-0.41573033707865165,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,100,baseline,EWOK,EWOK,0.5969101123595506,0.5941011235955056,0.002808988764045006,0.04070721782956489,0.46722846441947563,-0.42652124658991075,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,200,baseline,EWOK,EWOK,0.5987827715355806,0.5941011235955056,0.004681647940074973,0.027153558052434457,0.46722846441947563,-0.44007490636704116,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,300,baseline,EWOK,EWOK,0.5997191011235955,0.5941011235955056,0.005617977528089901,0.019699812382739212,0.46722846441947563,-0.4475286520367364,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,400,baseline,EWOK,EWOK,0.6006554307116105,0.5941011235955056,0.0065543071161049404,0.024344569288389514,0.46722846441947563,-0.4428838951310861,,,
yesno,EWOK,Gemma3,gemma-3-27b-pt,zeroshot,500,baseline,EWOK,EWOK,0.5997191011235955,0.5941011235955056,0.005617977528089901,0.017790262172284646,0.46722846441947563,-0.449438202247191,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,10,baseline,EWOK,EWOK,0.7275280898876404,0.7294007490636704,-0.0018726591760299671,0.1399812734082397,0.21348314606741572,-0.07350187265917602,,,
