Question_Type,Dataset,Model_Family,Target_Model,Transfer_Type,median_acc,q25_acc,q75_acc,bias_median,best_acc,worst_acc
YN,BABI,Falcon,Falcon3-3B-Base,Same,0.8601,0.8583,0.8621,0.0246,0.8667,0.8539
YN,BABI,Falcon,Falcon3-3B-Instruct,Cross,0.7921,0.7868,0.797,0.1543,0.8094,0.7768
YN,BABI,Falcon,Falcon3-3B-Instruct,Same,0.8333,0.8317,0.8358,0.0458,0.8408,0.8266
YN,BABI,Gemma3,gemma-3-12b-it,Cross,0.9119,0.9094,0.9139,0.0576,0.9186,0.8784
YN,BABI,Gemma3,gemma-3-12b-it,Same,0.9214,0.9198,0.9234,0.0083,0.9267,0.9152
YN,BABI,Gemma3,gemma-3-12b-pt,Cross,0.6665,0.6544,0.6789,0.3069,0.7377,0.6294
YN,BABI,Gemma3,gemma-3-12b-pt,Same,0.8672,0.865,0.8697,0.0425,0.8779,0.86
YN,BABI,Gemma3,gemma-3-27b-it,Cross,0.9192,0.9182,0.9208,0.0371,0.9237,0.9156
YN,BABI,Gemma3,gemma-3-27b-it,Same,0.9164,0.9148,0.9181,0.0115,0.9211,0.9094
YN,BABI,Gemma3,gemma-3-27b-pt,Cross,0.6639,0.658,0.6747,0.307,0.7346,0.6453
YN,BABI,Gemma3,gemma-3-27b-pt,Same,0.8919,0.8897,0.8936,0.0045,0.8973,0.8858
YN,BABI,Llama3,Llama-3.1-70B,Cross,0.8419,0.8347,0.8498,0.099,0.8654,0.815
YN,BABI,Llama3,Llama-3.1-70B,Same,0.8878,0.8853,0.8894,0.0054,0.8939,0.8816
YN,BABI,Llama3,Llama-3.1-70B-Instruct,Cross,0.925,0.9242,0.926,0.0363,0.9283,0.9212
YN,BABI,Llama3,Llama-3.1-70B-Instruct,Same,0.9219,0.9201,0.9232,0.0031,0.9269,0.9152
YN,BABI,Llama3,Llama-3.1-8B,Cross,0.7328,0.7107,0.7481,0.237,0.7812,0.6425
YN,BABI,Llama3,Llama-3.1-8B,Same,0.8453,0.8437,0.8475,0.0068,0.8527,0.8383
YN,BABI,Llama3,Llama-3.1-8B-Instruct,Cross,0.8502,0.843,0.8547,0.1032,0.8645,0.8177
YN,BABI,Llama3,Llama-3.1-8B-Instruct,Same,0.8721,0.8703,0.8742,0.0056,0.8781,0.8653
YN,COMPS,Falcon,Falcon3-10B-Base,Cross,0.7908,0.7801,0.7998,0.1234,0.8175,0.7367
YN,COMPS,Falcon,Falcon3-10B-Base,Same,0.842,0.8406,0.8433,0.0047,0.8489,0.8233
YN,COMPS,Falcon,Falcon3-10B-Instruct,Cross,0.8233,0.8221,0.8247,0.0517,0.8272,0.8192
YN,COMPS,Falcon,Falcon3-10B-Instruct,Same,0.8275,0.8262,0.8289,0.0105,0.8396,0.8152
YN,COMPS,Falcon,Falcon3-3B-Base,Cross,0.7034,0.6832,0.7237,0.2023,0.7446,0.6152
YN,COMPS,Falcon,Falcon3-3B-Base,Same,0.7756,0.7741,0.777,0.0041,0.783,0.7491
YN,COMPS,Falcon,Falcon3-3B-Instruct,Cross,0.7683,0.7655,0.7703,0.0604,0.775,0.756
YN,COMPS,Falcon,Falcon3-3B-Instruct,Same,0.7758,0.7746,0.7774,0.0168,0.7872,0.76
YN,COMPS,Gemma3,gemma-3-12b-it,Cross,0.8225,0.8207,0.8237,0.0685,0.8267,0.8148
YN,COMPS,Gemma3,gemma-3-12b-it,Same,0.8315,0.8299,0.8328,0.0081,0.8395,0.8049
YN,COMPS,Gemma3,gemma-3-12b-pt,Cross,0.6216,0.6152,0.6338,0.3077,0.7314,0.6052
YN,COMPS,Gemma3,gemma-3-12b-pt,Same,0.8054,0.8038,0.8073,0.0108,0.8119,0.7847
YN,COMPS,Gemma3,gemma-3-27b-it,Cross,0.8451,0.8443,0.8457,0.0599,0.8481,0.8414
YN,COMPS,Gemma3,gemma-3-27b-it,Same,0.8524,0.8513,0.854,0.0079,0.8586,0.8192
YN,COMPS,Gemma3,gemma-3-27b-pt,Cross,0.6579,0.6354,0.6876,0.2675,0.7639,0.6172
YN,COMPS,Gemma3,gemma-3-27b-pt,Same,0.8202,0.8187,0.8217,0.0079,0.829,0.8028
YN,COMPS,Llama3,Llama-3.1-70B,Cross,0.8073,0.7985,0.8096,0.0694,0.8213,0.7795
YN,COMPS,Llama3,Llama-3.1-70B,Same,0.8215,0.8196,0.8227,0.0034,0.827,0.7954
YN,COMPS,Llama3,Llama-3.1-70B-Instruct,Cross,0.835,0.834,0.8361,0.0332,0.8388,0.8299
YN,COMPS,Llama3,Llama-3.1-70B-Instruct,Same,0.839,0.8376,0.8406,0.0039,0.8447,0.8086
YN,COMPS,Llama3,Llama-3.1-8B,Cross,0.7515,0.7368,0.7639,0.1135,0.7786,0.6917
YN,COMPS,Llama3,Llama-3.1-8B,Same,0.7782,0.7763,0.7794,0.0054,0.7844,0.7566
YN,COMPS,Llama3,Llama-3.1-8B-Instruct,Cross,0.8009,0.7978,0.8024,0.0516,0.806,0.7854
YN,COMPS,Llama3,Llama-3.1-8B-Instruct,Same,0.8043,0.8023,0.8053,0.0059,0.8131,0.7756
