dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
MMLU-SOCIAL_SCI,gemma-3-12b-it,0.7867,0.0150,0.0275,+0.0042,+0.0092,+0.0215,+0.0025,+0.0000,+0.0065,-0.0017,-0.0017,+0.0020
MMLU-STEM,Falcon3-3B-Base,0.4917,0.1425,0.2246,+0.0017,-0.0575,-0.1129,+0.0083,-0.0817,-0.1545,-0.0008,-0.0825,-0.1594
MMLU-STEM,Falcon3-3B-Instruct,0.5000,0.0383,0.0283,+0.0025,+0.0125,+0.0289,-0.0017,-0.0050,+0.0172,-0.0017,+0.0075,+0.0157
MMLU-STEM,Falcon3-10B-Base,0.6408,0.0792,0.0854,-0.0017,-0.0158,-0.0048,+0.0075,-0.0200,-0.0051,+0.0167,-0.0408,-0.0170
MMLU-STEM,Falcon3-10B-Instruct,0.6567,0.0450,0.0501,+0.0000,+0.0325,+0.0337,+0.0025,-0.0242,-0.0307,+0.0033,-0.0275,-0.0218
MMLU-STEM,Llama-3.1-8B,0.5133,0.1475,0.2124,-0.1033,+0.3642,+0.5194,+0.0025,-0.0350,-0.0711,+0.0075,-0.0558,-0.0935
MMLU-STEM,Llama-3.1-8B-Instruct,0.5525,0.0767,0.0801,-0.0133,+0.1092,+0.1776,-0.0042,-0.0367,-0.0163,-0.0017,-0.0375,-0.0225
MMLU-STEM,Llama-3.1-70B,0.6408,0.0458,0.0431,-0.0300,+0.1675,+0.2318,-0.0058,+0.0300,+0.0381,+0.0067,+0.0258,+0.0464
MMLU-STEM,Llama-3.1-70B-Instruct,0.7117,0.0808,0.0912,-0.0150,-0.0033,-0.0137,-0.0108,-0.0400,-0.0383,-0.0050,-0.0183,-0.0163
MMLU-STEM,gemma-3-27b-pt,0.6717,0.0833,0.0997,-0.0317,+0.1592,+0.1631,+0.0183,-0.0592,-0.0773,+0.0108,-0.0683,-0.0689
MMLU-STEM,gemma-3-27b-it,0.6767,0.0333,0.0450,+0.0042,-0.0067,-0.0127,+0.0025,-0.0167,-0.0259,-0.0025,-0.0117,-0.0209
MMLU-STEM,gemma-3-12b-pt,0.6342,0.0833,0.0972,-0.0983,+0.3008,+0.3347,-0.0083,-0.0550,-0.0768,-0.0100,-0.0225,-0.0343
MMLU-STEM,gemma-3-12b-it,0.6350,0.0758,0.1100,-0.0083,-0.0575,-0.0753,-0.0058,-0.0158,-0.0123,-0.0050,-0.0083,-0.0138
