property,prefix,Context,Question,Correct Answer,negative_sample_type
has a loud cry,a cockerel,'',Does a cockerel have a loud cry?,Yes,random
is a mobile home,a caravan,'',Is a caravan a mobile home?,Yes,random
has a siren,an ambulance,'',Does an ambulance have a siren?,Yes,random
reports news,a television,'',Does a television report news?,Yes,random
has velcro,a wetsuit,'',Does a wetsuit have velcro?,Yes,random
has a taxi driver,a taxi,'',Does a taxi have a taxi driver?,Yes,random
can whip cream,a whisk,'',Can a whisk whip cream?,Yes,random
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random
has a spike,a cello,'',Does a cello have a spike?,Yes,random
can be rectangular in shape,a microwave,'',Can a microwave be rectangular in shape?,Yes,random
can be padded with straw and hay,a hutch,'',Can a hutch be padded with straw and hay?,Yes,random
can store food in its cheeks,a hamster,'',Can a hamster store food in its cheeks?,Yes,random
has a lemony taste,lemonade,'',Does lemonade have a lemony taste?,Yes,random
has a fretboard,a banjo,'',Does a banjo have a fretboard?,Yes,random
is used to make a drink,a coffee maker,'',Is a coffee maker used to make a drink?,Yes,random
can press,a finger,'',Can a finger press?,Yes,random
can make honey,a bee,'',Can a bee make honey?,Yes,random
has a tight seal,a jar,'',Does a jar have a tight seal?,Yes,random
is a tree,an elm tree,'',Is an elm tree a tree?,Yes,random
has strong teeth,a beaver,'',Does a beaver have strong teeth?,Yes,random
looks like a small cabbage,a brussels sprout,'',Does a brussels sprout look like a small cabbage?,Yes,random
is used manually,a can opener,'',Is a can opener used manually?,Yes,random
is portable,a violin,'',Is a violin portable?,Yes,random
can be spongy,a cake,'',Can a cake be spongy?,Yes,random
is biblical,a donkey,'',Is a donkey biblical?,Yes,random
can hold sand,a bucket,'',Can a bucket hold sand?,Yes,random
is a shoe with wheels,a rollerskate,'',Is a rollerskate a shoe with wheels?,Yes,random
has low alcohol content,cider,'',Does cider have low alcohol content?,Yes,random
has a bathroom,a houseboat,'',Does a houseboat have a bathroom?,Yes,random
can be bass,a guitar,'',Can a guitar be bass?,Yes,random
gives birth to piglets,a pig,'',Does a pig give birth to piglets?,Yes,random
can cut through fabric,scissors,'',Can scissors cut through fabric?,Yes,random
is a garnish,parsley,'',Is parsley a garnish?,Yes,random
can be made of ivory,a piano,'',Can a piano be made of ivory?,Yes,random
has a long stem,an orchid,'',Does an orchid have a long stem?,Yes,random
has footrests,a wheelchair,'',Does a wheelchair have footrests?,Yes,random
is fine-grained,flour,'',Is flour fine-grained?,Yes,random
can have rooms,a caravan,'',Can a caravan have rooms?,Yes,random
is an infant,a calf,'',Is a calf an infant?,Yes,random
can get full,a bin,'',Can a bin get full?,Yes,random
is found in a harbor,a tugboat,'',Is a tugboat found in a harbor?,Yes,random
has a glossy surface,a clarinet,'',Does a clarinet have a glossy surface?,Yes,random
has channels,a radio,'',Does a radio have channels?,Yes,random
can have a minibar,a limousine,'',Can a limousine have a minibar?,Yes,random
is used for toasting,a toaster,'',Is a toaster used for toasting?,Yes,random
has a lever,a corkscrew,'',Does a corkscrew have a lever?,Yes,random
is played with,a ball,'',Is a ball played with?,Yes,random
can contain a ring,a thumb,'',Can a thumb contain a ring?,Yes,random
makes a humming sound,a mosquito,'',Does a mosquito make a humming sound?,Yes,random
has a saggy neck,a turkey,'',Does a turkey have a saggy neck?,Yes,random
has fins,an eel,'',Does an eel have fins?,Yes,random
has flavor,cider,'',Does cider have flavor?,Yes,random
has hairy legs,a tarantula,'',Does a tarantula have hairy legs?,Yes,random
has a large mouth,a crocodile,'',Does a crocodile have a large mouth?,Yes,random
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random
can be used with toast,butter,'',Can butter be used with toast?,Yes,random
has seatbelts,a coach,'',Does a coach have seatbelts?,Yes,random
is thrust,a spear,'',Is a spear thrust?,Yes,random
carries its young one in its pouch,a kangaroo,'',Does a kangaroo carrie its young one in its pouch?,Yes,random
has geometric patterns,a football,'',Does a football have geometric patterns?,Yes,random
is made of two slices of bread,a sandwich,'',Is a sandwich made of two slices of bread?,Yes,random
is manned by a crew,a ship,'',Is a ship manned by a crew?,Yes,random
has toes,a monkey,'',Does a monkey have toes?,Yes,random
is often sold by kids,lemonade,'',Is lemonade often sold by kids?,Yes,random
has volume control,a television,'',Does a television have volume control?,Yes,random
makes a cooing sound,a pigeon,'',Does a pigeon make a cooing sound?,Yes,random
has transistors,a radio,'',Does a radio have transistors?,Yes,random
has a tap,a basin,'',Does a basin have a tap?,Yes,random
is made of connective tissue,a thumb,'',Is a thumb made of connective tissue?,Yes,random
has yellow eyes,an alligator,'',Does an alligator have yellow eyes?,Yes,random
is fastened at the front,a helmet,'',Is a helmet fastened at the front?,Yes,random
is used for making cake,a whisk,'',Is a whisk used for making cake?,Yes,random
can beep,a microwave,'',Can a microwave beep?,Yes,random
can have a rough texture,grapefruit,'',Can grapefruit have a rough texture?,Yes,random
is set free at weddings,a dove,'',Is a dove set free at weddings?,Yes,random
lays larva,a housefly,'',Does a housefly lay larva?,Yes,random
can glide,a buzzard,'',Can a buzzard glide?,Yes,random
can be made of denim,a jacket,'',Can a jacket be made of denim?,Yes,random
can be used to make cakes,butter,'',Can butter be used to make cakes?,Yes,random
can spill oil,an oil tanker,'',Can an oil tanker spill oil?,Yes,random
has a brown center,a sunflower,'',Does a sunflower have a brown center?,Yes,random
has dots,a dice,'',Does a dice have dots?,Yes,random
has knobs,a cupboard,'',Does a cupboard have knobs?,Yes,random
is used by clowns,a unicycle,'',Is a unicycle used by clowns?,Yes,random
can be found in houses,a peeler,'',Can a peeler be found in houses?,Yes,random
has a call,a cockerel,'',Does a cockerel have a call?,Yes,random
can be used in sandwiches,lettuce,'',Can lettuce be used in sandwiches?,Yes,random
is blocked by nets,a mosquito,'',Is a mosquito blocked by nets?,Yes,random
can store milk,a bottle,'',Can a bottle store milk?,Yes,random
has a yellow and orange beak,a seagull,'',Does a seagull have a yellow and orange beak?,Yes,random
performs photosynthesis,radish,'',Does radish perform photosynthesis?,Yes,random
is an accessory,a bag,'',Is a bag an accessory?,Yes,random
is planted,a tulip,'',Is a tulip planted?,Yes,random
allows movement,a finger,'',Does a finger allow movement?,Yes,random
has an electric hook up,a caravan,'',Does a caravan have an electric hook up?,Yes,random
has a bedroom,a houseboat,'',Does a houseboat have a bedroom?,Yes,random
can transport people,a truck,'',Can a truck transport people?,Yes,random
is found in hospitals,an ambulance,'',Is an ambulance found in hospitals?,Yes,random
has silent flight,an owl,'',Does an owl have silent flight?,Yes,random
is shaped like a box,a washing machine,'',Is a washing machine shaped like a box?,Yes,random
has racks,a chest of drawers,'',Does a chest of drawers have racks?,Yes,random
makes a buzzing sound,a housefly,'',Does a housefly make a buzzing sound?,Yes,random
has a long blade,a scythe,'',Does a scythe have a long blade?,Yes,random
can carry salmonella,a chicken,'',Can a chicken carry salmonella?,Yes,random
can be tied around the waist,a dressing gown,'',Can a dressing gown be tied around the waist?,Yes,random
has a sharp point,a drill,'',Does a drill have a sharp point?,Yes,random
has a tip which fits the screw,a screwdriver,'',Does a screwdriver have a tip which fits the screw?,Yes,random
has small petals,a hyacinth,'',Does a hyacinth have small petals?,Yes,random
is wide in shape,a machete,'',Is a machete wide in shape?,Yes,random
can be made of wood,a stool,'',Can a stool be made of wood?,Yes,random
makes noise with its legs,a cricket,'',Does a cricket make noise with its legs?,Yes,random
can contain cloth material,a chair,'',Can a chair contain cloth material?,Yes,random
eats seeds,an emu,'',Does an emu eat seeds?,Yes,random
can open,a clam,'',Can a clam open?,Yes,random
is used to warm food quickly,a microwave,'',Is a microwave used to warm food quickly?,Yes,random
can be laid on its side,a crossbow,'',Can a crossbow be laid on its side?,Yes,random
can save time,a dishwasher,'',Can a dishwasher save time?,Yes,random
can be used for storage,a bottle,'',Can a bottle be used for storage?,Yes,random
can skip traffic lights,an ambulance,'',Can an ambulance skip traffic lights?,Yes,random
has bones,a llama,'',Does a llama have bones?,Yes,random
can wriggle,a caterpillar,'',Can a caterpillar wriggle?,Yes,random
can be used to guide blind people,a dog,'',Can a dog be used to guide blind people?,Yes,random
has a triangular shape,a boomerang,'',Does a boomerang have a triangular shape?,Yes,random
is played sitting down,a piano,'',Is a piano played sitting down?,Yes,random
is preyed on by lions,a zebra,'',Is a zebra preyed on by lions?,Yes,random
can be used on a frying pan,butter,'',Can butter be used on a frying pan?,Yes,random
has a storage area,a cupboard,'',Does a cupboard have a storage area?,Yes,random
can block out sunlight,an oak tree,'',Can an oak tree block out sunlight?,Yes,random
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random
has tentacles,a slug,'',Does a slug have tentacles?,Yes,random
can cut and chop wood,a chainsaw,'',Can a chainsaw cut and chop wood?,Yes,random
has a rotating dish,a microwave,'',Does a microwave have a rotating dish?,Yes,random
is a symbol of wisdom,an owl,'',Is an owl a symbol of wisdom?,Yes,random
has six strings,a guitar,'',Does a guitar have six strings?,Yes,random
can camouflage,a lizard,'',Can a lizard camouflage?,Yes,random
has grooves,a nail,'',Does a nail have grooves?,Yes,random
can be used to denote numbers,a toe,'',Can a toe be used to denote numbers?,Yes,random
can chew,a dog,'',Can a dog chew?,Yes,random
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random
is a type of coat,a parka,'',Is a parka a type of coat?,Yes,random
has furry skin,a nectarine,'',Does a nectarine have furry skin?,Yes,random
is aerodynamic,a kite,'',Is a kite aerodynamic?,Yes,random
can be made from wheat,flour,'',Can flour be made from wheat?,Yes,random
is used for cigarettes,an ashtray,'',Is an ashtray used for cigarettes?,Yes,random
requires sunlight,a fir tree,'',Does a fir tree require sunlight?,Yes,random
can have one hump,a camel,'',Can a camel have one hump?,Yes,random
can be used to hit,a club,'',Can a club be used to hit?,Yes,random
is used for plucking,a tweezer,'',Is a tweezer used for plucking?,Yes,random
can have engravings on it,a cookie,'',Can a cookie have engravings on it?,Yes,random
can have a bell,a trumpet,'',Can a trumpet have a bell?,Yes,random
can go into wall,a nail,'',Can a nail go into wall?,Yes,random
is worn by nuns,a veil,'',Is a veil worn by nuns?,Yes,random
can be used for transportation,a cart,'',Can a cart be used for transportation?,Yes,random
was used by miners,a canary,'',Was a canary used by miners?,Yes,random
has weapons,a tank,'',Does a tank have weapons?,Yes,random
is played with a pick,a guitar,'',Is a guitar played with a pick?,Yes,random
has a jacket,a suit,'',Does a suit have a jacket?,Yes,random
can contain meat,a sandwich,'',Can a sandwich contain meat?,Yes,random
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random
is a larva,a caterpillar,'',Is a caterpillar a larva?,Yes,random
can be ridden on paths,a bicycle,'',Can a bicycle be ridden on paths?,Yes,random
is boiled alive,a lobster,'',Is a lobster boiled alive?,Yes,random
can be found on farms,a pig,'',Can a pig be found on farms?,Yes,random
is attached to a finger,a yoyo,'',Is a yoyo attached to a finger?,Yes,random
protects feet,a sock,'',Does a sock protect feet?,Yes,random
makes a ribbit sound,a toad,'',Does a toad make a ribbit sound?,Yes,random
is used in agriculture,a tractor,'',Is a tractor used in agriculture?,Yes,random
has a mattress,a bed,'',Does a bed have a mattress?,Yes,random
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random
has a thin beak,a hummingbird,'',Does a hummingbird have a thin beak?,Yes,random
has shelves,a dresser,'',Does a dresser have shelves?,Yes,random
reflects light,a mirror,'',Does a mirror reflect light?,Yes,random
is a small knife,a penknife,'',Is a penknife a small knife?,Yes,random
is used by hand,a spirit level,'',Is a spirit level used by hand?,Yes,random
lives in a mound,a termite,'',Does a termite live in a mound?,Yes,random
contains chemicals,a bomb,'',Does a bomb contain chemicals?,Yes,random
can be found in vanity cabinets,a mirror,'',Can a mirror be found in vanity cabinets?,Yes,random
has a big body,a tarantula,'',Does a tarantula have a big body?,Yes,random
has long feathers,a peacock,'',Does a peacock have long feathers?,Yes,random
is zesty,lime,'',Is lime zesty?,Yes,random
is a spade,a spade,'',Is a spade a spade?,Yes,random
lives in Antarctica,a penguin,'',Does a penguin live in antarctica?,Yes,random
can make butter,milk,'',Can milk make butter?,Yes,random
has rotating eyes,an iguana,'',Does an iguana have rotating eyes?,Yes,random
is fermented,whiskey,'',Is whiskey fermented?,Yes,random
is used to wash,a hose,'',Is a hose used to wash?,Yes,random
has a red breast,a robin,'',Does a robin have a red breast?,Yes,random
has a curly tail,a scorpion,'',Does a scorpion have a curly tail?,Yes,random
has long seats,a limousine,'',Does a limousine have long seats?,Yes,random
can come in multiple shapes,bread,'',Can bread come in multiple shapes?,Yes,random
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random
is footwear,a rollerskate,'',Is a rollerskate footwear?,Yes,random
has giant axons,a squid,'',Does a squid have giant axons?,Yes,random
has tusks,an elephant,'',Does an elephant have tusks?,Yes,random
has wings,a seagull,'',Does a seagull have wings?,Yes,random
facilitates sight,an eye,'',Does an eye facilitate sight?,Yes,random
can be made of linen,a blouse,'',Can a blouse be made of linen?,Yes,random
can be found on tables,a bottle,'',Can a bottle be found on tables?,Yes,random
has attachment points,a bayonet,'',Does a bayonet have attachment points?,Yes,random
can meow,a cat,'',Can a cat meow?,Yes,random
can provide fitness,a bicycle,'',Can a bicycle provide fitness?,Yes,random
eats rabbits,a fox,'',Does a fox eat rabbits?,Yes,random
eats cheese,a mouse,'',Does a mouse eat cheese?,Yes,random
is used to loosen bolts,a spanner,'',Is a spanner used to loosen bolts?,Yes,random
can pollinate,a hummingbird,'',Can a hummingbird pollinate?,Yes,random
can be blonde,hair,'',Can hair be blonde?,Yes,random
can contain flowers,a basket,'',Can a basket contain flowers?,Yes,random
gives birth to cygnets,a swan,'',Does a swan give birth to cygnets?,Yes,random
is a dress,a dress,'',Is a dress a dress?,Yes,random
is a melon,watermelon,'',Is watermelon a melon?,Yes,random
can have a hot temperature,an oven,'',Can an oven have a hot temperature?,Yes,random
is driven on roads,a tractor,'',Is a tractor driven on roads?,Yes,random
is eaten as beef,a cow,'',Is a cow eaten as beef?,Yes,random
is caught by tickling,a trout,'',Is a trout caught by tickling?,Yes,random
has sheets,a bed,'',Does a bed have sheets?,Yes,random
has a tuner,a radio,'',Does a radio have a tuner?,Yes,random
has laces,a rollerskate,'',Does a rollerskate have laces?,Yes,random
has a stick,a gong,'',Does a gong have a stick?,Yes,random
hunts gazelles and antelopes,a tiger,'',Does a tiger hunt gazelles and antelopes?,Yes,random
has an ink ribbon,a typewriter,'',Does a typewriter have an ink ribbon?,Yes,random
is made of small parts,a chandelier,'',Is a chandelier made of small parts?,Yes,random
is a shellfish,a scallop,'',Is a scallop a shellfish?,Yes,random
has a shirt,a suit,'',Does a suit have a shirt?,Yes,random
has a crest,a cockerel,'',Does a cockerel have a crest?,Yes,random
is a stick,a club,'',Is a club a stick?,Yes,random
is biotic,yoghurt,'',Is yoghurt biotic?,Yes,random
grows on palm trees,a date,'',Does a date grow on palm trees?,Yes,random
has a glass door,an oven,'',Does an oven have a glass door?,Yes,random
can be made into juice,a date,'',Can a date be made into juice?,Yes,random
is used to eat food,a fork,'',Is a fork used to eat food?,Yes,random
has big claws,a crab,'',Does a crab have big claws?,Yes,random
has suckers,an octopus,'',Does an octopus have suckers?,Yes,random
can be skinny,jeans,'',Can jeans be skinny?,Yes,random
has a helmet,an armor,'',Does an armor have a helmet?,Yes,random
can be made of steel,a ship,'',Can a ship be made of steel?,Yes,random
keeps food cool,a refrigerator,'',Does a refrigerator keep food cool?,Yes,random
is used in jazz music,a drum,'',Is a drum used in jazz music?,Yes,random
is played with hands,a frisbee,'',Is a frisbee played with hands?,Yes,random
is curved in shape,banana,'',Is banana curved in shape?,Yes,random
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random
has a curvy end,a ladle,'',Does a ladle have a curvy end?,Yes,random
has red petals,a poppy,'',Does a poppy have red petals?,Yes,random
can be found in hot climate,an iguana,'',Can an iguana be found in hot climate?,Yes,random
can build,a beaver,'',Can a beaver build?,Yes,random
has a hatch for entering,a submarine,'',Does a submarine have a hatch for entering?,Yes,random
is made from grapes,wine,'',Is wine made from grapes?,Yes,random
has a lobe,an ear,'',Does an ear have a lobe?,Yes,random
is used to grate cheese,a grater,'',Is a grater used to grate cheese?,Yes,random
resembles a tortoise,a tortoise,'',Does a tortoise resemble a tortoise?,Yes,random
is connected to the hip,a leg,'',Is a leg connected to the hip?,Yes,random
is a living thing,a buzzard,'',Is a buzzard a living thing?,Yes,random
can live long,a turtle,'',Can a turtle live long?,Yes,random
contains air bubbles,a spirit level,'',Does a spirit level contain air bubbles?,Yes,random
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random
is a type of jacket,a parka,'',Is a parka a type of jacket?,Yes,random
can wink,an eye,'',Can an eye wink?,Yes,random
submerges under water,a submarine,'',Does a submarine submerge under water?,Yes,random
can have a headboard,a bed,'',Can a bed have a headboard?,Yes,random
can contain bubbles,champagne,'',Can champagne contain bubbles?,Yes,random
can be played,a saxophone,'',Can a saxophone be played?,Yes,random
has eight legs,an octopus,'',Does an octopus have eight legs?,Yes,random
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random
eats from trees,a giraffe,'',Does a giraffe eat from trees?,Yes,random
is eaten with eggs,bread,'',Is bread eaten with eggs?,Yes,random
is used in baroque music,a french horn,'',Is a french horn used in baroque music?,Yes,random
reverses the image,a mirror,'',Does a mirror reverse the image?,Yes,random
contains credit cards,a wallet,'',Does a wallet contain credit cards?,Yes,random
has a long handle,a rake,'',Does a rake have a long handle?,Yes,random
has small front wheels,a tractor,'',Does a tractor have small front wheels?,Yes,random
is used against weeds,a hoe,'',Is a hoe used against weeds?,Yes,random
can drool,a calf,'',Can a calf drool?,Yes,random
is grown in fields,corn,'',Is corn grown in fields?,Yes,random
can be made using a tire,a swing,'',Can a swing be made using a tire?,Yes,random
has strong jaws,a crocodile,'',Does a crocodile have strong jaws?,Yes,random
can be kept in a bowl,a goldfish,'',Can a goldfish be kept in a bowl?,Yes,random
is a power tool,a chainsaw,'',Is a chainsaw a power tool?,Yes,random
can protect from spills,an apron,'',Can an apron protect from spills?,Yes,random
is protective,a cloak,'',Is a cloak protective?,Yes,random
has a mane,a pony,'',Does a pony have a mane?,Yes,random
can be used to play hockey,a ball,'',Can a ball be used to play hockey?,Yes,random
can be made of blackcurrant,jam,'',Can jam be made of blackcurrant?,Yes,random
is good for soil,a worm,'',Is a worm good for soil?,Yes,random
has a round door,a washing machine,'',Does a washing machine have a round door?,Yes,random
can contain pastrami,a sandwich,'',Can a sandwich contain pastrami?,Yes,random
can melt under heat,ice cream,'',Can ice cream melt under heat?,Yes,random
can have lice,hair,'',Can hair have lice?,Yes,random
has a waistband,a skirt,'',Does a skirt have a waistband?,Yes,random
has one surface,a ball,'',Does a ball have one surface?,Yes,random
can be soundproof,earmuffs,'',Can earmuffs be soundproof?,Yes,random
is slimy,a trout,'',Is a trout slimy?,Yes,random
has chambers,a heart,'',Does a heart have chambers?,Yes,random
has small seeds,kiwi,'',Does kiwi have small seeds?,Yes,random
is a clam,a mussel,'',Is a mussel a clam?,Yes,random
can be topped with flakes,ice cream,'',Can ice cream be topped with flakes?,Yes,random
can be soft,bread,'',Can bread be soft?,Yes,random
has a stumpy tail,a hamster,'',Does a hamster have a stumpy tail?,Yes,random
is domesticated,a goldfish,'',Is a goldfish domesticated?,Yes,random
can be found on furry animals,a flea,'',Can a flea be found on furry animals?,Yes,random
is brittle,a finger,'',Is a finger brittle?,Yes,random
is worn like a shoe,a rollerskate,'',Is a rollerskate worn like a shoe?,Yes,random
gives birth to joeys,a kangaroo,'',Does a kangaroo give birth to joeys?,Yes,random
can make puree,a blender,'',Can a blender make puree?,Yes,random
can be found in rock pools,a crab,'',Can a crab be found in rock pools?,Yes,random
contains yeast,beer,'',Does beer contain yeast?,Yes,random
can cut flesh,a bayonet,'',Can a bayonet cut flesh?,Yes,random
can be pumped,a football,'',Can a football be pumped?,Yes,random
is used by burglars,a crowbar,'',Is a crowbar used by burglars?,Yes,random
is hunted by whales,a penguin,'',Is a penguin hunted by whales?,Yes,random
